,Unnamed: 0,Unnamed: 0.1,Tweets
107,7,7.0,"  
Please help.
My father has been using this Samsung GURU for over 10 years, like a work horse. However a couple of days ago, it died. 
My father has 1000 very important contacts in this phone which he cannot afford to lose. "
108,8,8.0,": With pro quality video on the Galaxy Note20 5G, you’ll become a pro filmmaker yourself. This means you have to refer t…"
109,9,9.0,"I don't get why people say Samsung has ""raised the bar"". OnePlus has already issued three OS updates for the OnePlus 5T. If anything, OnePlus was the first the raise the bar, and now Samsung has heeded the call. "
110,10,10.0,"Get the NEW Samsung Galaxy A11 for only $79.99 when you join Cricket Wireless. Grab yours today at 2205 E. 7th Street Austin TX  78702

Obtenga el NUEVO Samsung Galaxy A11 por solo $79.99 cuando se cambia a Cricket Wireless. Escoja el suyo hoy. "
111,11,11.0,Selling my Samsung A20
112,12,12.0,": It will cost you 0$ to retweet my art.

  → I shot these images with my Samsung phone's camera. 🌴🖤 "
113,13,13.0," _mayr    Its all complicated but its their app store they can literally do what they want surely, its not ethical but upto them makes me like them less than before. I use android and Samsung so not sure of they are any better. Can see why apple is worth 2 trillion"
114,14,14.0," E.g. the ebook monopoly b.s.  and then how they basically lost any real value out of fighting samsung for copying their products, but meanwhile, non-operator IP holders regularly win 9 figure settlements from Apple in court. Maybe apple’s legal team is bad, or"
115,15,15.0,"_KD6 Depends what will be the main usage .. if it’s only for video call , bit of browsing , watching video etc then Samsung despite cheap is fine .. apple is more for professional usages"
116,16,16.0,": Samsung actively considering setting up assembly plant in Pakistan’

Smartphone manufacturer Samsung is keen to set up…"
117,17,17.0,_brenden: Samsung Galaxy Note 10 or $400 giveaway being posted the second this tweet hits 200 likes. Retweet + Share if you want to…
118,18,18.0,": how to assert dominance over bitchboys, a detailed guide by Dream and Samsung’s 25.1 cu. ft. capacity 3-Door French Door re…"
119,19,19.0,: Local production of mobile phones will give rise to numerous job opportunities for youth &amp; reduce cost of smartphones. Attr…
120,20,20.0,Best Samsung Galaxy Note 20 Cases in 2020 | Android Central 
121,21,21.0, I want 📱 Samsung
122,22,22.0,": JUST IN: Samsung to set up its assembly plant in Pakistan, Federal Minister Hammad Azhar"
123,23,23.0,Samsung Galaxy S20 Plus international giveaway! 
124,24,24.0,": South Korean smartphone manufacturer Samsung is keen to set up its assembly plant in Pakistan, informed Federal Minister for…"
125,25,25.0,": Nigerian youths are very passionate about Messi vs Ronaldo, Wizkid vs Davido, Laycon vs Kiddwaya, Nigerian Jollof vs Ghana,…"
126,26,26.0,Not surprised. Apple's calibration is better than Samsung yet they use Samsung OLED panels 
127,27,27.0,"1. Blackberry 9300
2. Samsung Galaxy S3
3. iPhone 6s
4. iPhone 11 "
128,28,28.0,"_brenden: I’ll give the Samsung Galaxy Note 10 (128 GB) to a random person who retweets this tweet. 

($400 cashout available) 

Sh…"
129,29,29.0,": By way of a Samsung survey, 93% of K12 teachers thought students would be excited about using VR &amp; 83% felt it might hel…"
130,30,30.0,": Happening now. The Samsung GalaxyNote20 Ultra 5G on Verizon 5G Ultra Wideband is up against . 

❤️ this post…"
131,31,31.0,": It will cost you 0$ to retweet my art.

  → I shot these images with my Samsung phone's camera. 🌴🖤 "
132,32,32.0,": JUST IN: Samsung to set up its assembly plant in Pakistan, Federal Minister Hammad Azhar"
133,33,33.0,: Jollibee/Domino's Pizza/Century Tuna/Goldilocks/Cookies by the Bucket/Cheetos/Birchtree/GreatTaste/Samsung/Closeup/Palmo…
134,34,34.0,_YELLO: Yall gotta respect Samsung phones they raw af
135,35,35.0,": JUST IN: Samsung to set up its assembly plant in Pakistan, Federal Minister Hammad Azhar"
136,36,36.0,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)
        To Buy Message Me "
137,37,37.0,Help us both win a Samsung Galaxy Note20 Ultra from SUPCASE by entering through my unique referral link! 
138,38,38.0,": Momo: I have both samsung and Iphone

Sana: I have Iphone, a broken Iphone "
139,39,39.0,": Momo: I have both samsung and Iphone

Sana: I have Iphone, a broken Iphone "
140,40,40.0,": I am not an Android user, but if I was, this is the Android phone I’d get. 



houtech GalaxyNote2…"
141,41,41.0,Samsung Galaxy M31s Giveaway 
142,42,42.0,_mutwiri: Samsung over iphone any day.
143,43,43.0,: Contest: Win a Bell Samsung Galaxy Z Flip!  
144,44,44.0,But but but  was dreaming about it before even Samsung thought of doing so 
145,45,45.0,": Nigerian youths are very passionate about Messi vs Ronaldo, Wizkid vs Davido, Laycon vs Kiddwaya, Nigerian Jollof vs Ghana,…"
146,46,46.0,Here’s why the Samsung Galaxy Note 7 batteries caught fire and exploded 
147,47,47.0,": how to assert dominance over bitchboys, a detailed guide by Dream and Samsung’s 25.1 cu. ft. capacity 3-Door French Door re…"
148,48,48.0,": JUST IN: Samsung to set up its assembly plant in Pakistan, Federal Minister Hammad Azhar"
149,49,49.0, But samsung made 64mp camera sensor so credit goes to them. You are the credit thief. You have zero security bad UI. Your phones are good on paper but in reality they are disappointing. Boycott chinese phones😠😠😠😠😠😠😠😠😠
150,50,50.0,"I had to complete my order from my Samsung phone,  and  should be embarrassed about the quality of the software they put out. What a garbage monopoly. "
151,51,51.0,"Free delivery on millions of items with Prime. Low prices across earth's biggest selection of books, music, DVDs, electronics, computers, software, apparel &amp; accessories, shoes, jewelry, tools &amp; hardware, housewares, furniture, sporting good..."
152,52,52.0,": Heechul’s really treating his staff super nice! He gifted Kims iPhone, Chanel bag, champagne as birthday gift to Kims mothe…"
153,53,53.0,_Legal_ also  doesn't make the best SSD on the market LMAO Samsung does they own the SSD market Seagate makes trash ssd +) lmao know your shit before you talk about it bro
154,54,54.0,Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Long-Lasting Battery | Mystic Bronze. 
155,55,55.0,_KD6 Apple iPad is expensive .. Samsung tabs are cheap ..
156,56,56.0,": Why do you support a platform that protects/promotes human trafficking and pedophilia?


@…"
157,57,57.0,"_fahd: Sealed Samsung Note8 64gig 2 sim 
Price:98k
Location:Jos
Help rt if you see this on your TL 🙏🙏 "
158,58,58.0,Nawaz Sharif return from London | Samsung planning to come in Pakistan |...  via 
159,59,59.0,"hashtag2 Samsung Electronics UN32M4500BFXZA 720P Smart LED TV, 32"" (2018)  "
160,60,60.0,"Samsung Galaxy Buds Live, True Wireless Earbuds w/Active Noise Cancelling (Wireless Charging Case Included), Mystic Bronze (US Version). "
161,61,61.0,_YELLO: Yall gotta respect Samsung phones they raw af
162,62,62.0,: The GalaxyNote20 series comes in a stunning array of mystic hues that redefine work and play. Which colour do you have y…
163,63,63.0,"Samsung Galaxy Buds+ Plus, True Wireless Earbuds (Wireless Charging Case included), Black – US Version. "
164,64,64.0, _Pak    _Official  I don't mind wasting few bucks on garbage if Samsung sets its assembly plant in Pakistan.
165,65,65.0,"Samsung Galaxy Tab S6 10.5"",  128GB Wifi Tablet Cloud Blue - SM-T860NZBAXAR. "
166,66,66.0,: The GalaxyNote20 series comes in a stunning array of mystic hues that redefine work and play. Which colour do you have y…
167,67,67.0,": Nigerian youths are very passionate about Messi vs Ronaldo, Wizkid vs Davido, Laycon vs Kiddwaya, Nigerian Jollof vs Ghana,…"
168,68,68.0,"Samsung QN65Q60RAFXZA Flat 65"" QLED 4K Q60 Series (2019) Ultra HD Smart TV with HDR and Alexa Compatibility. "
169,69,69.0,"Samsung Galaxy Note 10 Lite SM-N770F/DS 128GB 8GB RAM (FACTORY UNLOCKED) 6.7""  (via Ebay) "
170,70,70.0,"_fahd: Sealed Samsung Note8 64gig 2 sim 
Price:98k
Location:Jos
Help rt if you see this on your TL 🙏🙏 "
171,71,71.0,Samsung Galaxy S20+ 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty |Cosmic Gray. 
