,Tweets
70,: Prioritize datacenter discovery and readiness assessments to accelerate cloud migration  Azure…
71,": Microsoft is chasing a deal to buy all of TikTok's global business, including the viral video app's operations in India an…"
72,": The new Microsoft Family Safety app comes from a place of love, care, and curiosity. How can we build a digital world…"
73, Nintendo Switch will probably be the king of handheld console since Microsoft and Sony gave up on making handheld gaming devices. Hopefully many gaming software companies will continue to make new games and remake more games such as Suikoden series and ff5 / ff6 and etc...
74,: Scientists rename human genes to stop Microsoft Excel from misreading them as dates: MARCH1-&gt;MARCHF1 
75,": Shared via Microsoft Edge: Starmer calls for inquiry into botched NHS face masks contract

Judicial Reviews also likely to happe…"
76,": The latest thing we’re Splunking: . That’s right — as a hub for team collaboration that integrates people, conte…"
77,": The new Microsoft Family Safety app comes from a place of love, care, and curiosity. How can we build a digital world…"
78,": Shared via Microsoft Edge: Starmer calls for inquiry into botched NHS face masks contract

Judicial Reviews also likely to happe…"
79,"  $FSLY already provides CDN and IaaS services for GitHub, another $MSFT owned company.

That mixed with the fact Fastly offers more customization services to their clients than a behemoth like Microsoft's Azure, there is no sign up front that there would be a need for a switch-up."
80,": Microsoft wants to buy ALL of TikTok 💰

Makes sense. 

Less messy + Less complicated vs. owning only part of the company…"
81,$MSFT $FSLY Microsoft expands TikTok takeover ambitions to entire global business: FT 
82,: Scientists rename human genes to stop Microsoft Excel from misreading them as dates  
83,Microsoft reportedly wants to buy up TikTok's India operations too TikTokIndia   
84,"I knew this is an issue 🤣  
"
85,": Microsoft wants to buy ALL of TikTok 💰

Makes sense. 

Less messy + Less complicated vs. owning only part of the company…"
86,"Microsoft and  recently announced a 5-year partnership establishing  as the preferred cloud provider enhancing PepsiCo’s infrastructure.

"
87,Well this is mad...  via 
88,"If TikTok is suspected of collecting data in an unsavory way, why would it be ok for Microsoft or any other major tech player to buy them?

I understand that it won't be China, but why would it be acceptable?

Why is Microsoft so interested in doing so?

Ask questions people"
89,Microsoft's Roots in China Have Positioned It to Buy TikTok 
90,"Learn basic bioinformatics tools, or change gene nomenclature?

"
91,": On this day in 1997: As Apple nears bankruptcy, Microsoft invests $150 million in Apple
"
92,": For the students who follow me, if you have papers to type and you don’t have the energy. Microsoft and pages has a diact…"
93,": In this learning path, you’ll gain insights on how to keep your classroom connected, your students engaged, &amp; your curricul…"
94,": Is this the “new” TikTok 😂 Microsoft 

MT  

SocialMedia innovation "
95,How do you design for peace of mind? I wrote this article about work on the Microsoft Family Safety app and highlighting the accomplishments of the designers. I'm only one month into Microsoft and it's been a blast! Read it and share it! 🥳
96,Prioritize datacenter discovery and readiness assessments to accelerate cloud migration: 
97,": The new Microsoft Family Safety app comes from a place of love, care, and curiosity. How can we build a digital world…"
98,Prioritize datacenter discovery and readiness assessments to accelerate cloud migration  Azure MVPBuzz
99,"Today in Source Code: 

- The Trump administration makes its demands on the internet 
- Samsung and Microsoft are strange bedfellows
- Tesla engineer reinvents the chocolate chip.

"
